	unknown	other
white_faced_whistling_duck	Anseriformes	Anseri/Charadriiformes
white_front_goose	Anseriformes	Anseri/Charadriiformes
white_fronted_goose	Anseriformes	Anseri/Charadriiformes
white_peckin_duck	Anseriformes	Anseri/Charadriiformes
white_winged_black_tern	Charadriiformes	Anseri/Charadriiformes
white_stork	Ciconiiformes	other birds
whitefronted_goose	Anseriformes	Anseri/Charadriiformes
whooper_swan	Anseriformes	Anseri/Charadriiformes
whooper_swans	Anseriformes	Anseri/Charadriiformes
whooper_swans-_cygnus_cygnus	Anseriformes	Anseri/Charadriiformes
whooper_swan_-cygnus_cygnus-	Anseriformes	Anseri/Charadriiformes
whooperswan	Anseriformes	Anseri/Charadriiformes
whooping_swan	Anseriformes	Anseri/Charadriiformes
widgeon	Anseriformes	Anseri/Charadriiformes
wigeon	Anseriformes	Anseri/Charadriiformes
wild_bird	avian	other birds
wild_bird-anas_platyrhynchos-	Anseriformes	Anseri/Charadriiformes
wild_bird_feces	avian	other birds
wild_birds	avian	other birds
wild_boar	Artiodactyla	mammalian
wild_chicken	Galliformes	terrestrial poultry
wild_duck	Anseriformes	Anseri/Charadriiformes
wild_goose	Anseriformes	Anseri/Charadriiformes
wild_pigeon	Columbiformes	other birds
wild_swan	Anseriformes	Anseri/Charadriiformes
wild_turkey	Galliformes	terrestrial poultry
wild_waterbird	avian	other birds
wild_waterfowl	avian	other birds
wildbird	avian	other birds
wildfowl	avian	other birds
willet	Charadriiformes	Anseri/Charadriiformes
wood_duck	Anseriformes	Anseri/Charadriiformes
xema_sabini	Charadriiformes	Anseri/Charadriiformes
yellow-billed_duck	Anseriformes	Anseri/Charadriiformes
yellow-billed_pintail	Anseriformes	Anseri/Charadriiformes
yellow-billed_teal	Anseriformes	Anseri/Charadriiformes
yellow-headed_amazon	Psittaciformes	other birds
yellow_billed_duck	Anseriformes	Anseri/Charadriiformes
yellow_chicken	Galliformes	terrestrial poultry
yellow-legged_gull	Charadriiformes	Anseri/Charadriiformes
yellow_legged_gull	Charadriiformes	Anseri/Charadriiformes
zalophus_californianus	Carnivora	mammalian
zosterops_japonicus	Passeriformes	other birds
